ID,MEMBER_CODE,BARCODE,DATE_JOINED,DATE_BAPTISTED,TITLE,FIRSTNAME,LASTNAME,OTHERNAMES,ARCHIVED,CONTACT,DECEASED,GENDER,DOB,AGE,MARITAL_STATUS,ANNIVERSARY,EMAIL,PHONE,TELEPHONE,VOLUNTEER,RESIDENTIAL_ADDRESS,CONTACT_ADDRESS,HOMETOWN,REGION,COUNTRY,SECURITY_CODE,RECEIPT,GIVING_NUMBER,FAMILY_RELATIONSHIP,MUSIC_TEAM,DEMOGRAPHICS,SERVICE_TYPE,LOCATION,BRANCH,OCCUPATION,PLACE_OF_WORK,NAME_OF_SPOUSE,OCUPATION_OF_SPOUSE,SPOUSE_PHONE,SSNIT,NEXT_OF_KIN,NEXT_OF_KIN_ADDRESS,NEXT_OF_KIN_PHONE,FATHERS_NAME,FATHERS_DOB,MOTHERS_NAME,MOTHERS_DOB,PHONE2,PEOPLE_CATEGORY,MINISTRY
,12000,20151,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292929,,Maried,1429393993,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 123,30283923,Peter Ocansey,182828393,Margaret,1873727723,505284060,Adult,Men Ministry
,12001,20152,12299334,139292939,Dr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292930,,Maried,1429393994,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 124,30283924,Peter Ocansey,182828394,Margaret,1873727723,505284060,Adult,Men Ministry
,12002,20153,12299334,139292939,Prof,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292931,,Maried,1429393995,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 125,30283925,Peter Ocansey,182828395,Margaret,1873727723,505284060,Adult,Men Ministry
,12003,20154,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292932,,Maried,1429393996,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 126,30283926,Peter Ocansey,182828396,Margaret,1873727723,505284060,Adult,Men Ministry
,12004,20155,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292933,,Maried,1429393997,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 127,30283927,Peter Ocansey,182828397,Margaret,1873727723,505284060,Adult,Men Ministry
,12005,20156,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292934,,Maried,1429393998,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 128,30283928,Peter Ocansey,182828398,Margaret,1873727723,505284060,Adult,Men Ministry
,12006,20157,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292935,,Maried,1429393999,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 129,30283929,Peter Ocansey,182828399,Margaret,1873727723,505284060,Adult,Men Ministry
,12007,20158,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292936,,Maried,1429394000,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 130,30283930,Peter Ocansey,182828400,Margaret,1873727723,505284060,Adult,Men Ministry
,12008,20159,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292937,,Maried,1429394001,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 131,30283931,Peter Ocansey,182828401,Margaret,1873727723,505284060,Adult,Men Ministry
,12009,20160,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292938,,Maried,1429394002,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 132,30283932,Peter Ocansey,182828402,Margaret,1873727723,505284060,Adult,Men Ministry
,12010,20161,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292939,,Maried,1429394003,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 133,30283933,Peter Ocansey,182828403,Margaret,1873727723,505284060,Adult,Men Ministry
,12011,20162,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292940,,Maried,1429394004,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 134,30283934,Peter Ocansey,182828404,Margaret,1873727723,505284060,Adult,Men Ministry
,12012,20163,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292941,,Maried,1429394005,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 135,30283935,Peter Ocansey,182828405,Margaret,1873727723,505284060,Adult,Men Ministry
,12013,20164,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292942,,Maried,1429394006,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 136,30283936,Peter Ocansey,182828406,Margaret,1873727723,505284060,Adult,Men Ministry
,12014,20165,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292943,,Maried,1429394007,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 137,30283937,Peter Ocansey,182828407,Margaret,1873727723,505284060,Adult,Men Ministry
,12015,20166,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292944,,Maried,1429394008,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 138,30283938,Peter Ocansey,182828408,Margaret,1873727723,505284060,Adult,Men Ministry
,12016,20167,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292945,,Maried,1429394009,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 139,30283939,Peter Ocansey,182828409,Margaret,1873727723,505284060,Adult,Men Ministry
,12017,20168,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292946,,Maried,1429394010,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 140,30283940,Peter Ocansey,182828410,Margaret,1873727723,505284060,Adult,Men Ministry
,12018,20169,12299334,139292939,Mr,Gad,Ocansey,Kartey Kojo,N,N,N,Male,1292947,,Maried,1429394011,gad@gmail.com,505284060,2.33505E+11,Y,"North Ola,Cape Coast","P.O.BOX 18,Sege-Ada",Ada,Greater Accra,Ghana,1722,1112,2272,Father,Organist,Adult,Adult Service,North Ola,Addisadel Branch,Software Engineer,UCC,Agnes Sam,Teacher,505284060,2828282,Margaret,P.O.BOX 141,30283941,Peter Ocansey,182828411,Margaret,1873727723,505284060,Adult,Men Ministry
